SalesID,Region,ProductCategory,CustomerID,SalesAmount,SatisfactionRating,SalesDate,DiscountApplied,QuantitySold,RepeatCustomer
1,East,Food,3293,3830.27,1,2021-01-01 00:00:00,10,2,No
2,North,Electronics,1612,3997.44,1,2021-01-01 01:00:00,5,14,Yes
3,East,Electronics,7527,2305.25,4,2021-01-01 02:00:00,5,12,No
4,North,Clothing,4736,4142.95,1,2021-01-01 03:00:00,0,10,Yes
5,North,Food,8624,264.23,3,2021-01-01 04:00:00,5,19,Yes
6,North,Clothing,8373,4593.3,5,2021-01-01 05:00:00,20,2,Yes
7,East,Books,3800,3621.24,2,2021-01-01 06:00:00,20,6,Yes
8,East,Clothing,7179,3105.29,4,2021-01-01 07:00:00,15,6,No
9,West,Books,2335,1312.6,3,2021-01-01 08:00:00,5,1,Yes
10,South,Electronics,2247,633.91,4,2021-01-01 09:00:00,10,12,No
11,North,Clothing,1105,4203.64,4,2021-01-01 10:00:00,15,1,Yes
12,North,Electronics,2976,1324.45,2,2021-01-01 11:00:00,10,10,No
13,North,Electronics,8275,4882.04,3,2021-01-01 12:00:00,20,4,No
14,North,Furniture,1824,4099.33,4,2021-01-01 13:00:00,10,5,Yes
15,South,Food,4839,3916.97,3,2021-01-01 14:00:00,0,10,Yes
16,South,Toys,9252,2843.07,4,2021-01-01 15:00:00,10,13,No
17,South,Toys,7644,3488.83,1,2021-01-01 16:00:00,0,11,No
18,West,Furniture,1882,1445.24,3,2021-01-01 17:00:00,10,5,Yes
19,South,Toys,6684,2388.28,4,2021-01-01 18:00:00,20,3,No
20,East,Books,9936,1410.79,1,2021-01-01 19:00:00,10,17,No
21,South,Electronics,9409,1452.23,5,2021-01-01 20:00:00,10,9,Yes
22,East,Books,5144,1371.84,1,2021-01-01 21:00:00,15,4,Yes
23,North,Electronics,5214,1140.61,2,2021-01-01 22:00:00,15,2,Yes
24,West,Food,1136,4126.85,4,2021-01-01 23:00:00,0,17,No
25,East,Books,3321,2191.58,3,2021-01-02 00:00:00,10,10,Yes
26,West,Electronics,5197,2947.07,1,2021-01-02 01:00:00,5,17,No
27,South,Toys,2012,2824.11,5,2021-01-02 02:00:00,15,3,Yes
28,West,Furniture,3474,4141.75,3,2021-01-02 03:00:00,0,16,Yes
29,South,Clothing,1789,3346.98,2,2021-01-02 04:00:00,5,9,Yes
30,South,Food,5016,3659.72,3,2021-01-02 05:00:00,0,9,No
31,West,Toys,2659,888.33,2,2021-01-02 06:00:00,0,12,Yes
32,South,Food,5059,2873.32,5,2021-01-02 07:00:00,0,11,Yes
33,North,Clothing,2191,2026.32,3,2021-01-02 08:00:00,0,15,Yes
34,South,Clothing,1084,4652.62,4,2021-01-02 09:00:00,10,6,Yes
35,South,Books,3227,2052.5,3,2021-01-02 10:00:00,15,15,Yes
36,West,Furniture,5540,3217.67,4,2021-01-02 11:00:00,20,3,No
37,West,Electronics,7702,2092.35,1,2021-01-02 12:00:00,20,16,No
38,North,Books,6248,4562.98,3,2021-01-02 13:00:00,5,2,No
39,West,Furniture,1996,2364.13,2,2021-01-02 14:00:00,5,17,No
40,West,Furniture,1981,1058.97,5,2021-01-02 15:00:00,15,16,Yes
41,East,Electronics,5279,3872.93,5,2021-01-02 16:00:00,20,2,Yes
42,South,Toys,8260,4491.41,3,2021-01-02 17:00:00,20,14,No
43,East,Books,5598,3535.72,2,2021-01-02 18:00:00,5,14,No
